row ID,Molecule,Molecule name,Mannhold LogP,Atomic Polarizabilities,Aromatic Atoms Count,Aromatic Bonds Count,Element Count,Bond Polarizabilities,Bond Count,Eccentric Connectivity Index,Fragment Complexity,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Largest Chain,Largest Pi Chain,Petitjean Number,Rotatable Bonds Count,Lipinski's Rule of Five,Topological Polar Surface Area,Vertex adjacency information magnitude,Molecular Weight,XLogP,Zagreb Index,Molecular Formula,Formal Charge,Formal Charge (pos),Formal Charge (neg),Heavy Atoms Count,Molar Mass,SP3 Character,Rotatable Bonds Count (non terminal)
Row3,P(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(c3nc2)N)[C@@H]([C@@H]1O)O)O)(OP(=O)(O)O)O,C10H16N5O13P3,0.25,55.084688,9,10,47,55.749312,33,768,1471.21,340.839602425996,17,7,8,13,0.466666666666667,15,3,308.56,6.04439411935845,506.995745462,-5.533,170,C10H16N5O13P3,0,0,0,31,507.181476012675,0.106382978723404,8
Row11,O1[C@@H](O[C@@H](C#N)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO[C@@H]3O[C@@H]([C@@H](O)[C@@H]([C@H]3O)O)CO)O,C20H27NO11,2.34,63.125411,6,6,59,37.840589,34,782,2729.12,401.013735526074,12,7,4,6,0.466666666666667,14,2,202.32,6.08746284125034,457.158410684001,-2.076,164,C20H27NO11,0,0,0,32,457.429275699356,0.220338983050847,7
Row12,O1[C@@H](OC(C#N)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO[C@@H]3O[C@@H]([C@@H](O)[C@@H]([C@H]3O)O)CO)O,C20H27NO11,2.34,63.125411,6,6,59,37.840589,34,782,2729.12,401.013735526074,12,7,4,6,0.466666666666667,14,2,202.32,6.08746284125034,457.158410684001,-2.076,164,C20H27NO11,0,0,0,32,457.429275699356,0.220338983050847,7
Row22,O[C@@H]1CC2=CC[C@H]3[C@H]4[C@]([C@@H]([C@@H](CCCC(C)C)C)CC4)(C)CC[C@@H]3[C@@]2(C)CC1,C27H46O,4.32,78.9944779999999,0,0,74,50.287522,31,669,5173.01,432.275976795764,1,1,7,2,0.466666666666667,11,1,20.23,5.95419631038688,386.354866092001,10.518,158,C27H46O,0,0,0,28,386.654548816832,0.337837837837838,5
Row29,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,C14H9Cl5,2.45,41.541137,12,12,28,11.938863,20,290,499.05,264.4239127087,0,0,3,6,0.5,8,1,0,5.32192809488736,351.914688688,6.648,98,C14H9Cl5,0,0,0,19,354.486457230384,0.0714285714285714,3
Row34,O=C1O[C@@H]([C@@](O)([C@H](O)[C@H](C(=O)[C@H](C)C[C@]([C@@H]([C@H]([C@@H]([C@H]1C)O[C@@H]2O[C@H]([C@H](O)[C@@](C2)(OC)C)C)C)O[C@@H]3O[C@@H](C[C@@H]([C@H]3O)N(C)C)C)(O)C)C)C)CC,C37H67NO13,3.99,121.321131,0,0,118,88.6368690000001,53,1197,11850.14,731.435303669326,14,5,3,3,0.428571428571429,25,2,193.91,6.7279204545632,733.461241204002,1.141,270,C37H67NO13,0,0,0,51,733.928225952922,0.296610169491525,7
Row54,O1[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]([C@H]1CO)O,C12H22O11,1.57,44.611446,0,0,45,29.798554,24,372,1610.11,288.087850515773,11,8,2,0,0.5,12,2,189.53,5.58496250072116,342.116211524001,-3.663,118,C12H22O11,0,0,0,23,342.296981548887,0.266666666666667,4
Row91,O=C1c2c(O)cccc2[C@](O)(C)[C@@H]3C1=C(O)[C@]4(O)C(=O)C(=C(O)[C@H]([C@@H]4C3)N(C)C)C(=O)N,C22H24N2O8,2.78,63.339032,6,6,56,30.430968,35,582,2489.1,399.965950081091,9,6,3,12,0.454545454545455,10,1,181.62,6.12928301694497,444.153265728001,0.219,186,C22H24N2O8,0,0,0,32,444.435413655782,0.160714285714286,2
Row102,O=C1[C@]2([C@@H]([C@@]3(OC(=O)C)[C@H](OC3)C[C@@H]2O)[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@@H](C(=C([C@H]1OC(=O)C)C5(C)C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C,C47H51NO14,4.98,129.054443,18,18,113,71.741557,68,2007,10379.15,794.149120014154,15,4,7,9,0.473684210526316,23,3,221.29,7.08746284125034,853.330955312001,2.962,346,C47H51NO14,0,0,0,62,853.907937787159,0.185840707964602,14
Row114,O=[N+](OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],C5H8N4O12,0.25,28.158344,0,0,29,16.153656,20,252,364.16,233.960308266333,0,0,9,4,0.5,16,1,209.48,5.32192809488736,316.013871696,1.386,92,C5H8N4O12,0,4,-4,21,316.136877473523,0.172413793103448,12
Row128,O1[C@H](O[C@@]2(O[C@H](CO)[C@H]([C@@H]2O)O)CO)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O,C12H22O11,1.57,44.611446,0,0,45,29.798554,24,367,1610.11,288.087850515773,11,8,2,0,0.5,13,2,189.53,5.58496250072116,342.116211524001,-3.277,120,C12H22O11,0,0,0,23,342.296981548887,0.266666666666667,5
Row132,P(=O)(O[C@H]1[C@H](OP(=O)(O)O)[C@@H](O)[C@@H](O)[C@H]([C@@H]1O)OP(=O)(O)O)(O)O,C6H15O15P3,0.14,43.481895,0,0,39,47.460105,24,328,969.18,291.311068487617,15,9,3,5,0.444444444444444,15,2,290.4,5.58496250072116,419.96237967,-7.29,126,C6H15O15P3,0,0,0,24,420.095885491656,0.153846153846154,6
Row136,O[C@@H]1CC2=CC=C3[C@H]4[C@]([C@@H]([C@@H](CCCC(C)C)C)CC4)(C)CC[C@@H]3[C@@]2(C)CC1,C27H44O,4.32,77.6608919999999,0,0,72,48.101108,31,669,4869.01,429.639518094964,1,1,7,4,0.466666666666667,11,1,20.23,5.95419631038688,384.339216028001,9.515,158,C27H44O,0,0,0,28,384.63866730918,0.319444444444444,5
Row143,OC/C=C(/C=C/C=C(/C=C/C1=C(CCCC1(C)C)C)\C)\C,C20H30O,3.55,56.00579,0,0,51,32.79621,21,428,2181.01,337.727625713896,1,1,10,10,0.461538461538462,11,1,20.23,5.39231742277876,286.229665580001,6.158,98,C20H30O,0,0,0,21,286.452345478103,0.196078431372549,5
Row144,O=c1[nH]c(nc2c1nc(cn2)CNc3ccc(C(=O)N[C@H](C(=O)O)CCC(=O)O)cc3)N,C19H19N7O6,2.12,58.621067,16,17,51,29.882933,34,986,1817.13,379.028426441602,11,6,8,12,0.473684210526316,12,2,213.28,6.08746284125034,441.139681328,-3.096,162,C19H19N7O6,0,0,0,32,441.39820837633,0.0784313725490196,9
Row146,S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+],C12H25O4NaS,2.12,67.497825,0,0,43,36.680175,16,1935228896,1375.06,#NUM!,4,0,15,5,0.999000000999,14,1,74.81,5.0,288.137124560001,4.106,68,C12H25NaO4S,0,1,-1,18,288.380823590416,0.27906976744186,12
Row150,O[C@H]([C@@H](O)[C@H](O)CO)C(O)CO,C6H14O6,1.46,24.707102,0,0,26,15.304898,11,114,493.06,165.073726659367,6,6,8,0,0.428571428571429,11,1,121.38,4.4594316186373,182.079038168,-3.896,50,C6H14O6,0,0,0,12,182.172015499705,0.230769230769231,5
Row167,O=C(O[C@H]1[C@@]2(O)[C@@H](OC)[C@H](O)[C@]3([C@@H]1[C@H]([C@]45[C@@H](OC)C[C@@H](O)[C@@]6([C@H]4[C@H]([C@H]3C5N(C6)CC)OC)COC)C2)OC(=O)C)c7ccccc7,C34H47NO11,3.88,101.101271,6,6,93,66.772729,52,1067,7731.12,593.731685485006,12,3,3,9,0.5,20,3,153.45,6.70043971814109,645.314911324001,0.491,274,C34H47NO11,0,0,0,46,645.738393330903,0.279569892473118,11
Row168,O=C(OC1[C@@]2(O)[C@@H](OC)[C@H](O)[C@]3([C@@H]1[C@H]([C@]45[C@@H](OC)C[C@@H](O)[C@@]6(C4[C@H]([C@@H]3[C@H]5N(C6)C)OC)COC)C2)OC(=O)C)c7ccccc7,C33H45NO11,3.77,98.0076849999999,6,6,90,64.586315,51,1042,7236.12,576.43570085914,12,3,3,9,0.5,19,2,153.45,6.6724253419715,631.299261260001,0.0679999999999993,270,C33H45NO11,0,0,0,45,631.711775926464,0.277777777777778,10
Row171,O1c2c(c(O)cc(c2)CCCCC)[C@@H]3C=C(C)CC[C@H]3C1(C)C,C21H30O2,3.55,58.56779,6,6,53,34.71221,25,447,2519.02,330.837378339524,0,1,5,8,0.5,9,1,29.46,5.64385618977472,314.224580200001,6.475,124,C21H30O2,0,0,0,23,314.462486302461,0.245283018867925,4
Row198,[Na+].[Na+].O1B2OB([O-])OB1OB(O2)[O-].O.O.O.O.O.O.O.O.O.O,H20O17B4Na2,-1.07,86.2898600000001,0,0,43,29.44014,12,-1769803800,518.23,#NUM!,17,10,0,0,0.999000000999,2,2,92.27,4.58496250072116,382.08680934,-5.184,58,B4H20Na2O17,0,2,-2,23,381.372349758796,0.0,0
Row207,O=C1N/C(=C/c2[nH]c(Cc3[nH]c(/C=C\4/NC(=O)C(=C4C=C)C)c(c3CCC(=O)O)C)c(c2C)CCC(=O)O)/C(=C1C=C)C,C33H36N4O6,3.99,91.2965479999999,10,10,79,45.827452,46,1203,4918.1,567.916095776035,8,6,4,14,0.470588235294118,18,3,164.38,6.52356195605701,584.263484872001,2.167,226,C33H36N4O6,0,0,0,43,584.663394125293,0.113924050632911,12
Row208,O=C1N/C(=C\c2[nH]c(Cc3[nH]c(/C=C/4\NC(=O)C(=C4C=C)C)c(c3CCC(=O)O)C)c(c2C)CCC(=O)O)/C(=C1C=C)C,C33H36N4O6,3.99,91.2965479999999,10,10,79,45.827452,46,1203,4918.1,567.916095776035,8,6,4,14,0.470588235294118,18,3,164.38,6.52356195605701,584.263484872001,2.167,226,C33H36N4O6,0,0,0,43,584.663394125293,0.113924050632911,12
Row217,SCCNC(=O)CCNC(=O)C(O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(c3nc2)N)[C@@H]([C@@H]1OP(=O)(O)O)O)O)O)(C)C,C21H36N7O16P3S,0.8,95.286548,9,10,84,85.0454520000001,50,1917,5140.27,592.695740484545,22,9,18,10,0.48,28,4,414.79,6.64385618977472,767.115208962001,-5.825,250,C21H36N7O16P3S,0,0,0,48,767.536092143677,0.166666666666667,18
