pressure(bar),loading_abs_avg(mol/kg),loading_abs_dev(mol/kg)
0.2,0.087726170791175,0.0026512157669682
0.8,0.33417562191079,0.010982795854809
1.4,0.56749677458968,0.031080329398601
2.0,0.77350179558231,0.035660444799828
2.6,0.99087198287956,0.018831893989286
3.2,1.1821511256086,0.074762416516333
3.8,1.3890004633988,0.039457913527463
4.4,1.5671595853028,0.036267407391711
5.0,1.7237720736373,0.065254602639216
5.6,1.9301330321034,0.062288846118904
6.2,2.0532708426988,0.11335275612615
6.8,2.252124003759,0.041241317544333
7.4,2.3795247864206,0.061109236221304
8.0,2.5453005952934,0.10318128904876
8.6,2.6540022441734,0.03726874171791
9.2,2.8246204582089,0.074249638489644
9.8,2.9366910966634,0.063577261599126
10.2,3.016263816027,0.091707114790376
