pressure(bar),loading_abs_avg(mol/kg),loading_abs_dev(mol/kg)
0.2,0.0673424333037,0.0027348438479199
0.8,0.26125157822805,0.011415455792668
1.4,0.4572858946149,0.026192509895886
2.0,0.64543157453295,0.015947214160751
2.6,0.80774367015285,0.037352497279922
3.2,0.9756407163762,0.028531351265643
3.8,1.1376977914206,0.044757040176218
4.4,1.2999333808678,0.021122410046484
5.0,1.4975743268804,0.056155852425055
5.6,1.6399353128103,0.069670194063454
6.2,1.8084189063573,0.067319605697929
6.8,1.9902570773747,0.064059882615847
7.4,2.1061724296252,0.044907281739966
8.0,2.2892517007767,0.08008237307002
8.6,2.4006276867834,0.077547101200911
9.2,2.5567852858479,0.050203625677132
9.8,2.7073664349948,0.15296840556087
10.2,2.7897465815672,0.032834768137741
